pop_name	cor	p
T cells	0.243851047649437	0.119650957065814
CD4+ T cells	0.0389805097771284	0.806385308761707
CD25+ CD4+ T cells	-0.330213146396051	0.0326992951349863
CD4+ TCM cells	0.063454759159026	0.689726584341344
CD4+ TEM cells	0.236183813153151	0.132105943227425
PD-1+ CD4+ T cells	-0.364859390127628	0.0175134910866804
HLA-DR+ CD4+ cells	-0.0149108589951378	0.925329780123658
CD4+ TN cells	-0.0850624099358638	0.592232735149765
CD4+ TREG	0.143314424635332	0.365232072028584
CD4+ TEMRA cells	0.00166166820184033	0.991667166316123
CD8+ T cells	-0.0614337241643154	0.699136575364978
CD25+ CD8+ T cells	0.130480590427695	0.410154826041882
CD57-CD28+ CD8+ T cells	-0.278930307941653	0.0736450291197549
CD57+CD28- CD8+ T cells	0.26612641815235	0.0884707201158142
CD8+ TCM cells	0.349122736215944	0.0234438971894102
CD57-CD28- CD8+ T cells	0.0252015720801647	0.874125084000412
CD57+CD28+ CD8+ T cells	0.184440842787682	0.24228065618077
CD8+ TEM cells	0.247487844408428	0.11406222300422
PD-1+ CD8+ T cells	-0.241196257405017	0.123859131433144
CD57+KLRG1+ CD8+ T cells	0.320933626145137	0.0382382645230988
CD8+ TN cells	-0.467136722500144	0.00181548960873829
CD57+KLRG1- CD8+ T cells	-0.216216216393718	0.169043153205878
CD57-KLRG1+ CD8+ T cells	0.326836581977461	0.034632836008796
CD57-KLRG1- CD8+ T cells	-0.425428467591206	0.0049742100301682
CD8+ TEMRA cells	0.138341843391351	0.382274768492359
CD8+ TREG	0.21556789190678	0.170355943277549
B cells	-0.171590682347533	0.277231901044224
memory B cells	0.29859943977591	0.081731529049292
naïve B cells	-0.29331839480927	0.0872439996029211
Plasma cells	0.399551617538845	0.0174101898766749
CD94+ cytotoxic NK cells	-0.096916656616968	0.541479737065118
cytotoxic NK cells	-0.427795786061588	0.00471306630630455
KiR+ cytotoxic NK cells	0.0432721527035626	0.785545232288458
CD94+ defective NK cells	-0.00769885328238502	0.961406067439533
defective NK cells	-0.259816038140278	0.096581093421029
KiR+ defective NK cells	0.151377633711507	0.338586060487932
CD94+ regulatory NK cells	0.0447307645924468	0.778495010953373
regulatory NK cells	0.0868895661202433	0.584274647721451
KiR+ regulatory NK cells	0.0897856651602011	0.571759929374996
classical Monocytes	0.38483043668393	0.0118536932374919
Monocytes	-0.125141839867531	0.429733300455315
intermediate Monocytes	-0.0397909153858005	0.802439392051443
non classical Monocytes	-0.392560476840769	0.0101273485854776
NK T cells	0.273651797153429	0.0795005838745733
CD56+ CD4+ T cells	0.313652391181927	0.04310235735506
CD94+ CD4+ T cells	0.00324162243468843	0.983744904464399
KiR+ CD4+ T cells	0.250567566537495	0.109486066403306
CD56+ CD8+ T cells	0.115172638893628	0.467654373858068
CD94+ CD8+ T cells	0.110309614028309	0.486779265527608
KiR+ CD8+ T cells	0.208468395461913	0.185214963764179
